RNA6: J02146; RNA5: J02147; RNA8: J02150; RNA2: J02151; RNA1: V00603; RNA4: V01088; RNA7: V01099; RNA3: V01106
RNA2: AF101982; RNA3: AF102017; RNA7: J02094; RNA6: J02095; RNA8: J02096; RNA4: K00423; RNA5: K01395; RNA1: M14880
RNA1: JQ922305; RNA2: JQ922306; RNA3: JQ922307; RNA4: JQ922308; RNA5: JQ922309; RNA6: JQ922310; RNA7: JQ922311
RNA1: AB126191; RNA2: AB126192; RNA3: AB126193; RNA4: AB126194; RNA5: AB126195; RNA6: AB126196; RNA7: AB283001
RNA8: AF404340; RNA7: AF404341; RNA6: AF404342; RNA5: AF404343; RNA4: AF404344; RNA3: AF404345; RNA2: AF404346; RNA1: AY373381
Seg1: KX882061; Seg2: KX882062; Seg3: KX882063; Seg4: KX882064; Seg5: KX882065; Seg6: KX882066; Seg7: KX882067; Seg8: KX882068
Seg1: KX882069 ; Seg2: KX882070; Seg3: KX882071; Seg4: KX882072; Seg5: KX882073; Seg6: KX882074; Seg7: KX882075; Seg8: KX882076
KX670389; KX670390; KX670391; KX670392; KX670393; KX670394; KX670395
Seg1: MT774253; Seg2: MT774254; Seg3: MT774255; Seg4: MT774256; Seg5: MT774257; Seg6: MT774258; Seg7: MT774259
RNA5: FJ861694; RNA3: FJ861695; RNA1: GQ499302; RNA2: GQ499303; RNA6: GQ499304; RNA4: JN412853
JQ928941; JQ928942; JQ928943; JQ928944; JQ928945; JQ928946; MT774252
Seg1: KM114304; Seg2: KM114305; Seg3: KM114306; Seg4: KM114307; Seg5: KM114308; Seg6: KM114309; Seg7: KM114310
MN241407; MN241408; MN241409; MN241410; MN241411; MN241412; MN241413; MN241414
MH880287; MH880288; MH880289; MH880290; MH880291; MH880292
RNA1: GU969308; RNA3: GU969309; RNA4: GU969310; RNA5: GU969311; RNA6: GU969312; RNA2: GU969313
HM627170; HM627171; HM627172; HM627173; HM627174; HM627175
Seg1: LC320123; Seg2: LC320124; Seg3: LC320125; Seg4: LC320126; Seg5: LC320127; Seg6: LC320128
KX949586; KX949587; KX949588; KX949589; KX949590; KX949591
MN095539; MN095540; MN095541; MN095542; MN095543; MN095544
RNA2: AF004985; RNA3: AF006073; RNA6: AF527531; RNA4: M77280; RNA5: X96872; RNA1: Y17873
KC506156; KC506157; KC506158; KC506159; KC506160; KC506161
